cve_ent,cve_mun,cve_sun,cvegeo,sun,gmu,iisu_sun,iisu_cd,Pob_2010,Empleo,E_basica,E_media,E_superior,Salud_cama,Salud_cons,Abasto,Espacio_ab,Cultura,Est_Tpte,geometry
03,003,M03.01,0300300012036024,La Paz,medio,Intermedio,Alto,41,981.0,2.0,1.0,0.0,0.0,6.0,79.0,0.0,1.0,0.0,"POLYGON ((-110.29193445471651 24.165106676831876, -110.29152810819907 24.164824612524466, -110.29221399848137 24.164009333700207, -110.29262097708845 24.164290643689796, -110.29193445471651 24.165106676831876))"
03,003,M03.01,0300300012036029,La Paz,medio,Intermedio,Alto,45,1162.0,2.0,1.0,0.0,0.0,6.0,81.0,0.0,1.0,0.0,"POLYGON ((-110.29315743503024 24.16454912020044, -110.29272826488703 24.164251800806966, -110.29338692909631 24.163468866718024, -110.29381609824858 24.163766184263263, -110.29315743503024 24.16454912020044))"
03,003,M03.01,0300300012036023,La Paz,medio,Intermedio,Alto,62,1162.0,2.0,1.0,0.0,0.0,6.0,81.0,0.0,1.0,0.0,"POLYGON ((-110.29268112774388 24.164219145101516, -110.29227448850527 24.163937431982347, -110.29293315376218 24.163154499847572, -110.29333979206199 24.1634362112156, -110.29268112774388 24.164219145101516))"
03,003,M03.01,0300300012036014,La Paz,medio,Intermedio,Alto,59,356.0,2.0,0.0,0.0,0.0,6.0,51.0,0.0,0.0,0.0,"POLYGON ((-110.28794424946271 24.163620395555625, -110.28752526767553 24.163338172745704, -110.28815286309069 24.16259222113359, -110.28856755847852 24.162879535895993, -110.28794424946271 24.163620395555625))"
03,003,M03.01,0300300013496001,La Paz,alto,Bajo,Intermedio,97,199.0,0.0,0.0,0.0,0.0,6.0,43.0,0.0,0.0,0.0,"POLYGON ((-110.28443242577706 24.163617092616622, -110.283417499315 24.16371634861158, -110.28312731762855 24.163744726017036, -110.28307959778363 24.16331576456629, -110.28438535932601 24.16319404338069, -110.28443242577706 24.163617092616622))"
03,003,M03.01,0300300013496004,La Paz,alto,Bajo,Intermedio,42,199.0,0.0,0.0,0.0,0.0,6.0,43.0,0.0,0.0,0.0,"POLYGON ((-110.2835835192465 24.164308710551175, -110.28352630381863 24.163804161550846, -110.28444373218451 24.16371871807579, -110.28447187648699 24.1639709312039, -110.28375930655737 24.164052648405278, -110.28378209071033 24.16429332448621, -110.2835835192465 24.164308710551175))"
03,003,M03.01,0300300013496002,La Paz,alto,Bajo,Intermedio,152,199.0,0.0,0.0,0.0,0.0,6.0,43.0,0.0,0.0,0.0,"POLYGON ((-110.28270937982587 24.16290244751148, -110.28562616213453 24.16251701823698, -110.2855466271299 24.16212081315579, -110.28590441412837 24.162063303782006, -110.2860785544243 24.16295195028497, -110.28297157979118 24.163234225745253, -110.28302943483313 24.163754298029463, -110.2828470781623 24.163772130616906, -110.28270937982587 24.16290244751148))"
03,003,M03.01,0300300013049021,La Paz,medio,Intermedio,Intermedio,53,809.0,3.0,1.0,0.0,0.0,6.0,59.0,0.0,1.0,0.0,"POLYGON ((-110.29489110464142 24.15902369318232, -110.29539856512527 24.159370204696387, -110.29510317268283 24.160400568242814, -110.29438787201303 24.15990780474034, -110.29327855309437 24.1591421444625, -110.29397418402677 24.158016518220236, -110.29557646417611 24.15874778136472, -110.29542623410434 24.15927707680753, -110.29494870770928 24.158950485973577, -110.29491989557845 24.158986969585136, -110.29489110464142 24.15902369318232))"
03,003,M03.01,0300300012125036,La Paz,bajo,Alto,Alto,35,10150.0,3.0,1.0,1.0,2.0,40.0,94.0,0.0,4.0,0.0,"POLYGON ((-110.30245263847662 24.15878362907081, -110.30310370727504 24.157976233686906, -110.30399866648696 24.158596171998163, -110.30333840618968 24.159397202699296, -110.30245263847662 24.15878362907081))"
03,003,M03.01,0300300012125012,La Paz,bajo,Alto,Alto,32,5294.0,1.0,1.0,0.0,2.0,20.0,100.0,0.0,4.0,0.0,"POLYGON ((-110.29980941820199 24.16106186208676, -110.30020137380325 24.160626773454233, -110.30053895496717 24.16021881315724, -110.30092391162269 24.160478713410793, -110.30021351848649 24.161341790972276, -110.29980941820199 24.16106186208676))"
03,003,M03.01,0300300012125011,La Paz,bajo,Alto,Alto,42,3602.0,1.0,1.0,0.0,0.0,6.0,80.0,0.0,4.0,0.0,"POLYGON ((-110.29975462887963 24.161023908179985, -110.29937575978491 24.160761455128053, -110.3000863881291 24.15991287190891, -110.30048975675513 24.16018498047529, -110.30015162704181 24.16059365309173, -110.29975462887963 24.161023908179985))"
03,003,M03.01,0300300012125014,La Paz,bajo,Alto,Alto,11,5294.0,1.0,1.0,0.0,2.0,20.0,100.0,0.0,4.0,0.0,"POLYGON ((-110.30184572889117 24.161357799877855, -110.30192120687113 24.16126623385117, -110.30221967693598 24.161474012583714, -110.30248255972018 24.16165708128009, -110.30264747318907 24.161772065232093, -110.30274786469883 24.16183885608568, -110.30257788075771 24.162044148902563, -110.3025324790907 24.162020762767224, -110.30234938597974 24.16189610058909, -110.30218253484753 24.16176655942507, -110.30198242133424 24.161561448577306, -110.30188048348222 24.16142229823384, -110.30184572889117 24.161357799877855))"
03,003,M03.01,0300300012214048,La Paz,s/p,S/P,S/P,0,7081.0,4.0,1.0,0.0,2.0,20.0,102.0,0.0,4.0,0.0,"POLYGON ((-110.3028264252034 24.161893274106905, -110.3030910788375 24.162076521242675, -110.30301724521222 24.162095021516773, -110.30283731998205 24.16211646822247, -110.30272625148994 24.16210961476072, -110.30265442797243 24.162102080178975, -110.3028264252034 24.161893274106905))"
03,003,M03.01,0300300013034017,La Paz,medio,Intermedio,Intermedio,26,1823.0,2.0,1.0,0.0,0.0,6.0,84.0,0.0,1.0,0.0,"POLYGON ((-110.29759718144028 24.1608878112372, -110.29730730940429 24.16123912637825, -110.29689879543135 24.160781068459624, -110.29709912873295 24.160538613821135, -110.29759718144028 24.1608878112372))"
03,003,M03.01,0300300013034002,La Paz,medio,Intermedio,Intermedio,37,3602.0,1.0,1.0,0.0,0.0,6.0,80.0,0.0,4.0,0.0,"POLYGON ((-110.29831427855417 24.16002119778167, -110.29745509677929 24.159368000651128, -110.29780626551336 24.158969732921616, -110.2981044395031 24.15920421837488, -110.29854834273641 24.159738100232797, -110.29831427855417 24.16002119778167))"
