latitud,longitud,fecha,t_mean_2m_12h,relative_humidity_mean_2m_12h,precip_12h,air_quality
24.108736,-110.354364,2023-10-05T00:00:00Z,31.6,61.9,0.0,1.0
24.108736,-110.354364,2023-10-05T12:00:00Z,29.7,70.3,0.0,0.0
24.108736,-110.354364,2023-10-06T00:00:00Z,32.2,60.2,0.26,1.0
24.108736,-110.354364,2023-10-06T12:00:00Z,29.5,68.6,0.0,0.0
24.108736,-110.354364,2023-10-07T00:00:00Z,29.9,64.5,1.49,1.0
24.108736,-110.354364,2023-10-07T12:00:00Z,29.3,70.0,0.0,1.0
24.108736,-110.354364,2023-10-08T00:00:00Z,31.7,62.9,2.7,1.0
24.108736,-110.354364,2023-10-08T12:00:00Z,28.1,81.5,0.2,1.0
24.108736,-110.354364,2023-10-09T00:00:00Z,28.1,79.9,11.05,1.0
24.108736,-110.354364,2023-10-09T12:00:00Z,27.2,86.0,0.16,0.0
24.108736,-110.354364,2023-10-10T00:00:00Z,29.3,74.2,1.47,0.0
24.108736,-110.354364,2023-10-10T12:00:00Z,27.4,82.9,0.0,0.0
24.108736,-110.354364,2023-10-11T00:00:00Z,29.1,73.3,0.0,0.0
24.108736,-110.354364,2023-10-11T12:00:00Z,25.9,85.9,0.0,0.0
24.108736,-110.354364,2023-10-12T00:00:00Z,29.6,57.8,0.0,1.0
24.108736,-110.354364,2023-10-12T12:00:00Z,24.6,77.5,0.0,0.0
24.108736,-110.354364,2023-10-13T00:00:00Z,27.9,61.1,0.0,1.0
24.108736,-110.354364,2023-10-13T12:00:00Z,24.5,67.8,0.0,0.0
24.108736,-110.354364,2023-10-14T00:00:00Z,27.2,56.6,0.0,1.0
24.108736,-110.354364,2023-10-14T12:00:00Z,24.5,61.3,0.0,0.0
24.108736,-110.354364,2023-10-15T00:00:00Z,27.9,52.7,0.0,1.0
24.108736,-110.354364,2023-10-15T12:00:00Z,26.3,65.1,0.0,0.0
24.108736,-110.354364,2023-10-16T00:00:00Z,29.6,61.8,0.0,1.0
24.108736,-110.354364,2023-10-16T12:00:00Z,28.2,67.5,0.0,0.0
24.108736,-110.354364,2023-10-17T00:00:00Z,31.7,48.1,0.0,1.0
24.108736,-110.354364,2023-10-17T12:00:00Z,29.1,58.9,0.0,0.0
24.108736,-110.354364,2023-10-18T00:00:00Z,32.9,40.4,0.0,1.0
24.108736,-110.354364,2023-10-18T12:00:00Z,29.3,55.7,0.0,0.0
24.108736,-110.354364,2023-10-19T00:00:00Z,32.4,48.7,0.0,1.0
24.108736,-110.354364,2023-10-19T12:00:00Z,28.9,66.6,0.0,0.0
24.108736,-110.354364,2023-10-20T00:00:00Z,31.7,60.0,0.0,1.0
24.108736,-110.354364,2023-10-20T12:00:00Z,29.0,70.4,0.0,0.0
24.108736,-110.354364,2023-10-21T00:00:00Z,30.7,64.6,0.0,1.0
24.108736,-110.354364,2023-10-21T12:00:00Z,27.7,62.6,19.18,1.0
24.108736,-110.354364,2023-10-22T00:00:00Z,25.3,84.3,77.4,1.0
24.108736,-110.354364,2023-10-22T12:00:00Z,25.7,86.8,38.29,1.0
24.108736,-110.354364,2023-10-23T00:00:00Z,27.3,74.6,6.05,1.0
24.108736,-110.354364,2023-10-23T12:00:00Z,24.7,80.3,0.0,0.0
24.108736,-110.354364,2023-10-24T00:00:00Z,25.5,74.5,0.0,1.0
24.108736,-110.354364,2023-10-24T12:00:00Z,21.9,83.6,0.0,0.0
24.108736,-110.354364,2023-10-25T00:00:00Z,24.2,68.1,0.0,1.0
24.108736,-110.354364,2023-10-25T12:00:00Z,20.8,79.2,0.0,0.0
24.108736,-110.354364,2023-10-26T00:00:00Z,24.0,64.4,0.0,1.0
24.108736,-110.354364,2023-10-26T12:00:00Z,21.5,76.5,0.0,0.0
24.108736,-110.354364,2023-10-27T00:00:00Z,24.8,61.7,0.0,1.0
24.108736,-110.354364,2023-10-27T12:00:00Z,21.2,78.3,0.0,0.0
24.108736,-110.354364,2023-10-28T00:00:00Z,24.4,62.8,0.0,1.0
24.108736,-110.354364,2023-10-28T12:00:00Z,21.4,80.2,0.0,0.0
24.108736,-110.354364,2023-10-29T00:00:00Z,24.7,65.6,0.0,1.0
24.108736,-110.354364,2023-10-29T12:00:00Z,21.5,83.7,0.0,0.0
24.108736,-110.354364,2023-10-30T00:00:00Z,25.4,68.0,0.0,1.0
24.108736,-110.354364,2023-10-30T12:00:00Z,22.2,81.6,0.0,0.0
24.108736,-110.354364,2023-10-31T00:00:00Z,26.7,69.3,0.0,1.0
24.108736,-110.354364,2023-10-31T12:00:00Z,24.6,79.5,0.0,1.0
24.108736,-110.354364,2023-11-01T00:00:00Z,27.3,67.9,0.0,1.0
24.108736,-110.354364,2023-11-01T12:00:00Z,24.6,82.2,0.0,1.0
24.108736,-110.354364,2023-11-02T00:00:00Z,27.8,67.9,0.0,1.0
24.108736,-110.354364,2023-11-02T12:00:00Z,25.0,81.4,0.0,0.0
24.108736,-110.354364,2023-11-03T00:00:00Z,27.6,71.8,0.87,1.0
24.108736,-110.354364,2023-11-03T12:00:00Z,24.7,83.7,0.0,0.0
24.108736,-110.354364,2023-11-04T00:00:00Z,27.5,64.6,0.0,1.0
24.108736,-110.354364,2023-11-04T12:00:00Z,24.4,79.5,0.0,0.0
24.108736,-110.354364,2023-11-05T00:00:00Z,27.0,57.1,0.0,1.0
24.108736,-110.354364,2023-11-05T12:00:00Z,24.1,71.6,0.0,0.0
24.108736,-110.354364,2023-11-06T00:00:00Z,27.8,56.3,0.0,1.0
24.108736,-110.354364,2023-11-06T12:00:00Z,24.4,73.1,0.0,0.0
24.108736,-110.354364,2023-11-07T00:00:00Z,28.8,59.8,0.0,1.0
24.108736,-110.354364,2023-11-07T12:00:00Z,25.3,78.8,0.0,0.0
24.108736,-110.354364,2023-11-08T00:00:00Z,30.5,48.1,0.2,1.0
24.108736,-110.354364,2023-11-08T12:00:00Z,26.2,65.8,0.0,0.0
24.108736,-110.354364,2023-11-09T00:00:00Z,26.5,64.3,3.59,1.0
24.108736,-110.354364,2023-11-09T12:00:00Z,23.1,84.5,1.39,0.0
24.108736,-110.354364,2023-11-10T00:00:00Z,25.9,74.2,0.34,1.0
24.108736,-110.354364,2023-11-10T12:00:00Z,24.1,82.1,0.0,1.0
24.108736,-110.354364,2023-11-11T00:00:00Z,26.4,67.2,0.0,1.0
24.108736,-110.354364,2023-11-11T12:00:00Z,23.0,77.3,0.0,1.0
24.108736,-110.354364,2023-11-12T00:00:00Z,25.9,59.6,0.0,1.0
24.108736,-110.354364,2023-11-12T12:00:00Z,22.8,64.3,0.0,1.0
24.108736,-110.354364,2023-11-13T00:00:00Z,26.4,58.9,0.0,1.0
24.108736,-110.354364,2023-11-13T12:00:00Z,23.5,77.2,0.0,1.0
24.108736,-110.354364,2023-11-14T00:00:00Z,26.8,64.3,0.0,1.0
24.108736,-110.354364,2023-11-14T12:00:00Z,24.0,72.3,0.0,0.0
24.108736,-110.354364,2023-11-15T00:00:00Z,27.2,58.4,0.0,1.0
24.108736,-110.354364,2023-11-15T12:00:00Z,23.8,69.5,0.0,0.0
24.108736,-110.354364,2023-11-16T00:00:00Z,26.2,62.7,0.0,1.0
24.108736,-110.354364,2023-11-16T12:00:00Z,24.3,69.2,0.0,1.0
24.108736,-110.354364,2023-11-17T00:00:00Z,27.4,57.7,0.0,1.0
24.108736,-110.354364,2023-11-17T12:00:00Z,25.4,75.4,0.0,0.0
24.108736,-110.354364,2023-11-18T00:00:00Z,28.1,66.6,0.0,0.0
24.108736,-110.354364,2023-11-18T12:00:00Z,25.4,81.0,0.0,0.0
24.108736,-110.354364,2023-11-19T00:00:00Z,28.6,59.2,0.0,0.0
24.108736,-110.354364,2023-11-19T12:00:00Z,25.5,78.8,0.0,0.0
24.108736,-110.354364,2023-11-20T00:00:00Z,26.7,65.7,0.0,1.0
24.108736,-110.354364,2023-11-20T12:00:00Z,22.0,73.1,0.0,0.0
24.108736,-110.354364,2023-11-21T00:00:00Z,24.6,64.0,0.0,1.0
24.108736,-110.354364,2023-11-21T12:00:00Z,22.9,61.4,0.0,1.0
24.108736,-110.354364,2023-11-22T00:00:00Z,25.0,57.3,0.0,1.0
24.108736,-110.354364,2023-11-22T12:00:00Z,23.9,62.8,0.0,1.0
24.108736,-110.354364,2023-11-23T00:00:00Z,26.0,46.2,0.0,1.0
24.108736,-110.354364,2023-11-23T12:00:00Z,21.4,66.8,0.0,0.0
24.108736,-110.354364,2023-11-24T00:00:00Z,24.9,57.6,0.0,1.0
24.108736,-110.354364,2023-11-24T12:00:00Z,22.2,72.1,0.0,0.0
24.108736,-110.354364,2023-11-25T00:00:00Z,25.3,59.2,0.0,1.0
24.108736,-110.354364,2023-11-25T12:00:00Z,21.9,70.7,0.0,1.0
24.108736,-110.354364,2023-11-26T00:00:00Z,24.3,59.0,0.0,1.0
24.108736,-110.354364,2023-11-26T12:00:00Z,22.6,65.7,0.0,1.0
24.108736,-110.354364,2023-11-27T00:00:00Z,23.4,69.7,0.0,1.0
24.108736,-110.354364,2023-11-27T12:00:00Z,22.6,83.7,0.33,1.0
24.108736,-110.354364,2023-11-28T00:00:00Z,24.7,72.2,0.0,1.0
24.108736,-110.354364,2023-11-28T12:00:00Z,22.4,82.5,0.0,0.0
24.108736,-110.354364,2023-11-29T00:00:00Z,25.1,70.9,0.0,1.0
24.108736,-110.354364,2023-11-29T12:00:00Z,22.0,83.0,0.0,0.0
24.108736,-110.354364,2023-11-30T00:00:00Z,24.2,64.8,0.0,1.0
24.108736,-110.354364,2023-11-30T12:00:00Z,21.7,73.9,0.0,1.0
24.108736,-110.354364,2023-12-01T00:00:00Z,21.7,54.9,0.0,1.0
24.108736,-110.354364,2023-12-01T12:00:00Z,19.3,63.9,0.0,1.0
24.108736,-110.354364,2023-12-02T00:00:00Z,21.5,54.1,0.0,1.0
24.108736,-110.354364,2023-12-02T12:00:00Z,20.1,67.1,0.0,1.0
24.108736,-110.354364,2023-12-03T00:00:00Z,22.9,57.1,0.0,1.0
24.108736,-110.354364,2023-12-03T12:00:00Z,20.8,70.1,0.0,1.0
24.108736,-110.354364,2023-12-04T00:00:00Z,24.0,59.9,0.0,1.0
24.108736,-110.354364,2023-12-04T12:00:00Z,21.3,76.1,0.0,1.0
24.108736,-110.354364,2023-12-05T00:00:00Z,23.9,70.2,0.0,1.0
24.108736,-110.354364,2023-12-05T12:00:00Z,20.3,88.5,0.0,1.0
24.108736,-110.354364,2023-12-06T00:00:00Z,23.3,73.1,0.0,1.0
24.108736,-110.354364,2023-12-06T12:00:00Z,21.1,86.5,0.0,1.0
24.108736,-110.354364,2023-12-07T00:00:00Z,24.4,61.5,0.0,1.0
24.108736,-110.354364,2023-12-07T12:00:00Z,21.5,60.8,0.0,0.0
24.108736,-110.354364,2023-12-08T00:00:00Z,25.2,38.6,0.0,1.0
24.108736,-110.354364,2023-12-08T12:00:00Z,21.3,52.4,0.0,0.0
24.108736,-110.354364,2023-12-09T00:00:00Z,25.5,42.7,0.0,1.0
24.108736,-110.354364,2023-12-09T12:00:00Z,22.1,64.9,0.0,0.0
24.108736,-110.354364,2023-12-10T00:00:00Z,23.7,72.0,0.0,1.0
24.108736,-110.354364,2023-12-10T12:00:00Z,21.4,81.3,0.0,1.0
24.108736,-110.354364,2023-12-11T00:00:00Z,23.4,69.5,0.0,1.0
24.108736,-110.354364,2023-12-11T12:00:00Z,20.4,79.5,0.0,1.0
24.108736,-110.354364,2023-12-12T00:00:00Z,23.5,59.0,0.0,1.0
24.108736,-110.354364,2023-12-12T12:00:00Z,19.6,74.2,0.0,0.0
24.108736,-110.354364,2023-12-13T00:00:00Z,23.6,53.4,0.0,1.0
24.108736,-110.354364,2023-12-13T12:00:00Z,20.7,62.7,0.0,0.0
24.108736,-110.354364,2023-12-14T00:00:00Z,23.3,42.9,0.0,1.0
24.108736,-110.354364,2023-12-14T12:00:00Z,22.0,55.9,0.0,0.0
24.108736,-110.354364,2023-12-15T00:00:00Z,23.1,71.2,0.0,1.0
24.108736,-110.354364,2023-12-15T12:00:00Z,20.4,80.7,0.0,1.0
24.108736,-110.354364,2023-12-16T00:00:00Z,22.7,66.8,0.0,1.0
24.108736,-110.354364,2023-12-16T12:00:00Z,20.2,75.7,0.0,1.0
24.108736,-110.354364,2023-12-17T00:00:00Z,23.0,63.1,0.0,1.0
24.108736,-110.354364,2023-12-17T12:00:00Z,19.9,80.5,0.0,1.0
24.108736,-110.354364,2023-12-18T00:00:00Z,23.5,63.5,0.0,1.0
24.108736,-110.354364,2023-12-18T12:00:00Z,20.9,68.7,0.0,1.0
